id,name,position,team,pp1,goalie_situation,breakout
connor-mcdavid,Connor McDavid,F,EDM,Y,,
nikita-kucherov,Nikita Kucherov,F,T.B,Y,,
nathan-mackinnon,Nathan MacKinnon,F,COL,Y,,
macklin-celebrini,Macklin Celebrini,F,S.J,,,
leon-draisaitl,Leon Draisaitl,F,EDM,Y,,
david-pastrnak,David Pastrnak,F,BOS,,,
quinn-hughes,Quinn Hughes,D,MIN,Y,,
cale-makar,Cale Makar,D,COL,Y,,
evan-bouchard,Evan Bouchard,D,EDM,Y,,
zach-werenski,Zach Werenski,D,CBJ,Y,,
andrei-vasilevskiy,Andrei Vasilevskiy,G,T.B,,Y,
jake-oettinger,Jake Oettinger,G,DAL,,Y,
logan-thompson,Logan Thompson,G,WSH,,Y,
jack-hughes,Jack Hughes,F,N.J,Y,,
kirill-kaprizov,Kirill Kaprizov,F,MIN,Y,,
jack-eichel,Jack Eichel,F,VGK,Y,,
martin-necas,Martin Necas,F,COL,,,
jason-robertson,Jason Robertson,F,DAL,Y,,
nick-suzuki,Nick Suzuki,F,MTL,,,
mikko-rantanen,Mikko Rantanen,F,DAL,,,
william-nylander,William Nylander,F,TOR,,,
matt-boldy,Matt Boldy,F,MIN,,,
kyle-connor,Kyle Connor,F,WPG,,,
lane-hutson,Lane Hutson,D,MTL,Y,,
rasmus-dahlin,Rasmus Dahlin,D,BUF,Y,,
adam-fox,Adam Fox,D,NYR,Y,,
matthew-schaefer,Matthew Schaefer,D,NYI,Y,,
connor-hellebuyck,Connor Hellebuyck,G,WPG,,Y,
jet-greaves,Jet Greaves,G,CBJ,,,
jacob-markstrom,Jacob Markstrom,G,FLA,,,
karel-vejmelka,Karel Vejmelka,G,UTA,,,
igor-shesterkin,Igor Shesterkin,G,NYR,,Y,
linus-ullmark,Linus Ullmark,G,OTT,,,
auston-matthews,Auston Matthews,F,TOR,,,
wyatt-johnston,Wyatt Johnston,F,DAL,,,
mitch-marner,Mitch Marner,F,VGK,,,
mark-scheifele,Mark Scheifele,F,WPG,,,
lucas-raymond,Lucas Raymond,F,DET,,,
clayton-keller,Clayton Keller,F,UTA,,,
brandon-hagel,Brandon Hagel,F,T.B,,,
leo-carlsson,Leo Carlsson,F,ANA,,,Y
artemi-panarin,Artemi Panarin,F,L.A,,,
sidney-crosby,Sidney Crosby,F,PIT,,,
beckett-sennecke,Beckett Sennecke,F,ANA,,,
matthew-tkachuk,Matthew Tkachuk,F,FLA,,,
dylan-guenther,Dylan Guenther,F,UTA,,,
aleksander-barkov,Aleksander Barkov,F,FLA,,,
cole-caufield,Cole Caufield,F,MTL,Y,,
jesper-bratt,Jesper Bratt,F,N.J,,,
sebastian-aho,Sebastian Aho,F,CAR,Y,,
jake-guentzel,Jake Guentzel,F,T.B,,,
darren-raddysh,Darren Raddysh,D,TOR,,,
josh-morrissey,Josh Morrissey,D,WPG,,,
shea-theodore,Shea Theodore,D,VGK,,,
moritz-seider,Moritz Seider,D,DET,,,
jackson-lacombe,Jackson LaCombe,D,ANA,,,
jake-sanderson,Jake Sanderson,D,OTT,Y,,
roman-josi,Roman Josi,D,NSH,Y,,
sergei-bobrovsky,Sergei Bobrovsky,G,TOR,,,
jakub-dobes,Jakub Dobes,G,MTL,,,
scott-wedgewood,Scott Wedgewood,G,COL,,Y,
juuse-saros,Juuse Saros,G,NSH,,Y,
john-gibson,John Gibson,G,DET,,,
carter-hart,Carter Hart,G,VGK,,,
jeremy-swayman,Jeremy Swayman,G,BOS,,Y,
robert-thomas,Robert Thomas,F,STL,,,
tim-st-tzle,Tim Stützle,F,OTT,,,
cutter-gauthier,Cutter Gauthier,F,ANA,,,
tage-thompson,Tage Thompson,F,BUF,,,
logan-cooley,Logan Cooley,F,UTA,,,
sam-reinhart,Sam Reinhart,F,FLA,,,
will-smith,Will Smith,F,S.J,,,Y
alex-debrincat,Alex DeBrincat,F,DET,,,
filip-forsberg,Filip Forsberg,F,NSH,,,
connor-bedard,Connor Bedard,F,CHI,,,Y
mika-zibanejad,Mika Zibanejad,F,NYR,,,
adrian-kempe,Adrian Kempe,F,L.A,,,
kirill-marchenko,Kirill Marchenko,F,CBJ,,,
ivan-demidov,Ivan Demidov,F,MTL,Y,,Y
brayden-point,Brayden Point,F,T.B,,,
nico-hischier,Nico Hischier,F,N.J,,,
nikolaj-ehlers,Nikolaj Ehlers,F,CAR,,,
dylan-larkin,Dylan Larkin,F,DET,,,
mark-stone,Mark Stone,F,VGK,,,
dylan-holloway,Dylan Holloway,F,STL,,,
luke-hughes,Luke Hughes,D,N.J,,,
jakob-chychrun,Jakob Chychrun,D,WSH,Y,,
john-carlson,John Carlson,D,T.B,Y,,
erik-karlsson,Erik Karlsson,D,PIT,,,
mikhail-sergachev,Mikhail Sergachev,D,UTA,,,
miro-heiskanen,Miro Heiskanen,D,DAL,Y,,
bowen-byram,Bowen Byram,D,CHI,,,
charlie-mcavoy,Charlie McAvoy,D,BOS,,,
brandt-clarke,Brandt Clarke,D,L.A,,,
ilya-sorokin,Ilya Sorokin,G,NYI,,Y,
jesper-wallstedt,Jesper Wallstedt,G,MIN,,,Y
stuart-skinner,Stuart Skinner,G,WPG,,,
lukas-dostal,Lukas Dostal,G,ANA,,,
pyotr-kochetkov,Pyotr Kochetkov,G,CAR,,Y,
dan-vladar,Dan Vladar,G,PHI,,,
jake-allen,Jake Allen,G,N.J,,,
brandon-bussi,Brandon Bussi,G,CAR,,,
ukko-pekka-luukkonen,Ukko-Pekka Luukkonen,G,BUF,,,
anton-forsberg,Anton Forsberg,G,L.A,,,
john-tavares,John Tavares,F,TOR,,,
adam-fantilli,Adam Fantilli,F,CBJ,,,
juraj-slafkovsky,Juraj Slafkovsky,F,MTL,,,
j-t-miller,J.T. Miller,F,NYR,,,
nick-schmaltz,Nick Schmaltz,F,UTA,,,
mathew-barzal,Mathew Barzal,F,NYI,,,
drake-batherson,Drake Batherson,F,OTT,,,
dylan-strome,Dylan Strome,F,WSH,,,
alexis-lafreni-re,Alexis Lafrenière,F,NYR,,,
andrei-svechnikov,Andrei Svechnikov,F,CAR,Y,,
morgan-geekie,Morgan Geekie,F,BOS,,,
brady-tkachuk,Brady Tkachuk,F,FLA,,,
zach-benson,Zach Benson,F,BUF,,,
matthew-knies,Matthew Knies,F,TOR,,,
travis-konecny,Travis Konecny,F,PHI,,,
seth-jarvis,Seth Jarvis,F,CAR,,,
gavin-mckenna,Gavin McKenna,F,TOR,,,
roope-hintz,Roope Hintz,F,DAL,,,
ryan-o-reilly,Ryan O'Reilly,F,NSH,,,
evgeni-malkin,Evgeni Malkin,F,PIT,,,
jordan-kyrou,Jordan Kyrou,F,WSH,,,
jimmy-snuggerud,Jimmy Snuggerud,F,STL,,,
pavel-dorofeyev,Pavel Dorofeyev,F,NYR,,,
alex-tuch,Alex Tuch,F,WSH,,,
ivar-stenberg,Ivar Stenberg,F,S.J,,,
jj-peterka,JJ Peterka,F,BOS,,,Y
quinton-byfield,Quinton Byfield,F,L.A,,,
steven-stamkos,Steven Stamkos,F,NSH,Y,,
zach-hyman,Zach Hyman,F,EDM,,,
elias-pettersson,Elias Pettersson,F,VAN,,,
gabriel-vilardi,Gabriel Vilardi,F,WPG,,,
thomas-harley,Thomas Harley,D,DAL,,,
shayne-gostisbehere,Shayne Gostisbehere,D,CAR,,,
filip-hronek,Filip Hronek,D,VAN,,,
noah-dobson,Noah Dobson,D,MTL,,,
vince-dunn,Vince Dunn,D,SEA,,,
joel-hofer,Joel Hofer,G,STL,,,
arturs-silovs,Arturs Silovs,G,PIT,,Y,
mackenzie-blackwood,MacKenzie Blackwood,G,COL,,,
adin-hill,Adin Hill,G,VGK,,,
spencer-knight,Spencer Knight,G,CHI,,,
frederik-andersen,Frederik Andersen,G,EDM,,Y,
yaroslav-askarov,Yaroslav Askarov,G,S.J,,,
dustin-wolf,Dustin Wolf,G,CGY,,,
tristan-jarry,Tristan Jarry,G,EDM,,,
joseph-woll,Joseph Woll,G,PHI,,,
filip-gustavsson,Filip Gustavsson,G,MIN,,Y,
alex-lyon,Alex Lyon,G,BUF,,,
tom-wilson,Tom Wilson,F,WSH,,,
trevor-zegras,Trevor Zegras,F,PHI,,,
jared-mccann,Jared McCann,F,SEA,,,
tomas-hertl,Tomas Hertl,F,VGK,,,
william-eklund,William Eklund,F,OTT,,,
jackson-blake,Jackson Blake,F,CAR,,,Y
rickard-rakell,Rickard Rakell,F,PIT,,,
porter-martone,Porter Martone,F,PHI,,,Y
matvei-michkov,Matvei Michkov,F,PHI,,,Y
pavel-zacha,Pavel Zacha,F,BOS,,,
marco-rossi,Marco Rossi,F,VAN,,,
bryan-rust,Bryan Rust,F,PIT,,,
michael-misa,Michael Misa,F,S.J,,,
joel-eriksson-ek,Joel Eriksson Ek,F,MIN,,,
luke-evangelista,Luke Evangelista,F,NSH,,,
brock-nelson,Brock Nelson,F,COL,,,
anton-frondell,Anton Frondell,F,CHI,,,
mikael-granlund,Mikael Granlund,F,ANA,,,
brock-boeser,Brock Boeser,F,VAN,,,
dylan-cozens,Dylan Cozens,F,OTT,,,
matt-duchene,Matt Duchene,F,DAL,Y,,
aliaksei-protas,Aliaksei Protas,F,WSH,,,
ryan-nugent-hopkins,Ryan Nugent-Hopkins,F,EDM,,,
nazem-kadri,Nazem Kadri,F,COL,,,
igor-chernyshov,Igor Chernyshov,F,S.J,,,
josh-doan,Josh Doan,F,BUF,,,
patrick-kane,Patrick Kane,F,CHI,,,
cole-perfetti,Cole Perfetti,F,WPG,,,
mason-mctavish,Mason McTavish,F,STL,,,
cole-hutson,Cole Hutson,D,WSH,,,
brock-faber,Brock Faber,D,MIN,,,
tyler-bertuzzi,Tyler Bertuzzi,F,CHI,,,
zeev-buium,Zeev Buium,D,VAN,,,
matty-beniers,Matty Beniers,F,SEA,,,
pierre-luc-dubois,Pierre-Luc Dubois,F,WSH,,,
ryan-mcleod,Ryan McLeod,F,BUF,,,
alex-ovechkin,Alex Ovechkin,F,WSH,Y,,
matvei-gridin,Matvei Gridin,F,CGY,,,
logan-stankoven,Logan Stankoven,F,CAR,,,Y
ivan-barbashev,Ivan Barbashev,F,VGK,,,
matt-coronato,Matt Coronato,F,CGY,,,
philip-broberg,Philip Broberg,D,STL,,,
owen-power,Owen Power,D,BUF,,,
mason-marchment,Mason Marchment,F,S.J,,,
ryan-leonard,Ryan Leonard,F,WSH,,,Y
owen-tippett,Owen Tippett,F,PHI,,,
kevin-fiala,Kevin Fiala,F,L.A,,,
sam-bennett,Sam Bennett,F,FLA,,,
anthony-cirelli,Anthony Cirelli,F,T.B,,,
carter-verhaeghe,Carter Verhaeghe,F,FLA,,,
connor-mcmichael,Connor McMichael,F,STL,,,
anton-lundell,Anton Lundell,F,FLA,,,
charlie-coyle,Charlie Coyle,F,CBJ,,,
viktor-arvidsson,Viktor Arvidsson,F,DET,,,
victor-hedman,Victor Hedman,D,T.B,,,
nico-daws,Nico Daws,G,N.J,,,
joey-daccord,Joey Daccord,G,SEA,,,
darcy-kuemper,Darcy Kuemper,G,L.A,,,
sergei-murashov,Sergei Murashov,G,PIT,,,
samuel-ersson,Samuel Ersson,G,OTT,,,
alex-nedeljkovic,Alex Nedeljkovic,G,S.J,,,
thatcher-demko,Thatcher Demko,G,VAN,,,
akira-schmid,Akira Schmid,G,FLA,,,
jordan-binnington,Jordan Binnington,G,STL,,,
jacob-fowler,Jacob Fowler,G,MTL,,,
ryan-hartman,Ryan Hartman,F,MIN,,,
jake-debrusk,Jake DeBrusk,F,VAN,,,
jack-quinn,Jack Quinn,F,BUF,,,
chandler-stephenson,Chandler Stephenson,F,SEA,,,
thomas-chabot,Thomas Chabot,D,OTT,,,
matthew-wood,Matthew Wood,F,NSH,,,
pavel-buchnevich,Pavel Buchnevich,F,STL,,,
mats-zuccarello,Mats Zuccarello,F,L.A,,,
shane-pinto,Shane Pinto,F,OTT,,,
timo-meier,Timo Meier,F,N.J,,,
anthony-mantha,Anthony Mantha,F,N.J,,,
valeri-nichushkin,Valeri Nichushkin,F,CBJ,,,
vincent-trocheck,Vincent Trocheck,F,UTA,,,
jordan-eberle,Jordan Eberle,F,SEA,,,
simon-holmstrom,Simon Holmstrom,F,NYI,,,
jamie-drysdale,Jamie Drysdale,D,PHI,,,
k-andre-miller,K'Andre Miller,D,CAR,,,
simon-nemec,Simon Nemec,D,CGY,,,Y
morgan-frost,Morgan Frost,F,CGY,,,
seth-jones,Seth Jones,D,FLA,,,
calum-ritchie,Calum Ritchie,F,NYI,,,
dmitry-orlov,Dmitry Orlov,D,S.J,,,
pavel-mintyukov,Pavel Mintyukov,D,ANA,,,
mavrik-bourque,Mavrik Bourque,F,NSH,,,Y
james-hagens,James Hagens,F,BOS,,,
kaapo-kakko,Kaapo Kakko,F,SEA,,,
frank-nazar,Frank Nazar,F,CHI,,,Y
alex-wennberg,Alex Wennberg,F,S.J,,,
artturi-lehkonen,Artturi Lehkonen,F,COL,,,
noah-hanifin,Noah Hanifin,D,VGK,,,
denton-mateychuk,Denton Mateychuk,D,CBJ,,,
dougie-hamilton,Dougie Hamilton,D,N.J,,,
brad-marchand,Brad Marchand,F,FLA,,,
tyler-toffoli,Tyler Toffoli,F,S.J,,,
justin-faulk,Justin Faulk,D,DET,,,
tyson-foerster,Tyson Foerster,F,PHI,,,
bobby-mcmann,Bobby McMann,F,SEA,,,
will-cuylle,Will Cuylle,F,NYR,,,
kyle-palmieri,Kyle Palmieri,F,NYI,,,
rasmus-andersson,Rasmus Andersson,D,VGK,,,
brandon-montour,Brandon Montour,D,SEA,,,
casey-mittelstadt,Casey Mittelstadt,F,BOS,,,
gabe-perreault,Gabe Perreault,F,NYR,,,
taylor-hall,Taylor Hall,F,CAR,,,
elias-lindholm,Elias Lindholm,F,BOS,,,
joel-farabee,Joel Farabee,F,CGY,,,
devon-toews,Devon Toews,D,COL,,,
jack-roslovic,Jack Roslovic,F,TOR,,,
troy-terry,Troy Terry,F,ANA,,,
alex-laferriere,Alex Laferriere,F,L.A,,,
morgan-rielly,Morgan Rielly,D,TOR,,,
ivan-provorov,Ivan Provorov,D,CBJ,,,
jake-neighbours,Jake Neighbours,F,STL,,,
simon-edvinsson,Simon Edvinsson,D,DET,,,
aaron-ekblad,Aaron Ekblad,D,FLA,,,
brady-skjei,Brady Skjei,D,NSH,,,
mattias-ekholm,Mattias Ekholm,D,EDM,,,
alex-nikishin,Alex Nikishin,D,CAR,,,Y
gustav-forsling,Gustav Forsling,D,FLA,,,
mackenzie-weegar,MacKenzie Weegar,D,UTA,,,
travis-sanheim,Travis Sanheim,D,PHI,,,
anthony-stolarz,Anthony Stolarz,G,TOR,,,
dennis-hildeby,Dennis Hildeby,G,T.B,,,
casey-desmith,Casey DeSmith,G,DAL,,,
yegor-chinakhov,Yegor Chinakhov,F,PIT,,,
matt-savoie,Matt Savoie,F,EDM,,,
shane-wright,Shane Wright,F,SEA,,,
kent-johnson,Kent Johnson,F,CBJ,,,
andrew-copp,Andrew Copp,F,DET,,,
jamie-benn,Jamie Benn,F,DAL,,,
sean-monahan,Sean Monahan,F,CBJ,,,
noah-cates,Noah Cates,F,PHI,,,
luca-cagnoni,Luca Cagnoni,D,S.J,,,
dmitri-voronkov,Dmitri Voronkov,F,CBJ,,,
jonathan-marchessault,Jonathan Marchessault,F,NSH,,,
kris-letang,Kris Letang,D,PIT,,,
jonathan-huberdeau,Jonathan Huberdeau,F,CGY,,,
john-marino,John Marino,D,UTA,,,
thomas-novak,Thomas Novak,F,PIT,,,
jordan-spence,Jordan Spence,D,OTT,,,
ben-kindel,Ben Kindel,F,PIT,,,
easton-cowan,Easton Cowan,F,TOR,,,Y
mattias-samuelsson,Mattias Samuelsson,D,BUF,,,
josh-norris,Josh Norris,F,BUF,,,
tyler-seguin,Tyler Seguin,F,DAL,,,
oliver-ekman-larsson,Oliver Ekman-Larsson,D,TOR,,,
sean-durzi,Sean Durzi,D,NYR,,,
christian-dvorak,Christian Dvorak,F,PHI,,,
chris-kreider,Chris Kreider,F,ANA,,,
sam-malinski,Sam Malinski,D,COL,,,
jake-walman,Jake Walman,D,EDM,,,
anders-lee,Anders Lee,F,UTA,,,
noah-ostlund,Noah Ostlund,F,BUF,,,
matias-maccelli,Matias Maccelli,F,NYI,,,
blake-coleman,Blake Coleman,F,MIN,,,
vladislav-gavrikov,Vladislav Gavrikov,D,NYR,,,
damon-severson,Damon Severson,D,CBJ,,,
claude-giroux,Claude Giroux,F,OTT,,,
roman-kantserov,Roman Kantserov,F,CHI,,,Y
collin-graf,Collin Graf,F,S.J,,,
konsta-helenius,Konsta Helenius,F,BUF,,,Y
cam-york,Cam York,D,PHI,,,
arseny-gritsyuk,Arseny Gritsyuk,F,N.J,,,
charle-edouard-d-astous,Charle-Edouard D'Astous,D,T.B,,,
brayden-schenn,Brayden Schenn,F,NYI,,,
artyom-levshunov,Artyom Levshunov,D,CHI,,,
ryan-donato,Ryan Donato,F,CHI,,,
mackie-samoskevich,Mackie Samoskevich,F,SEA,,,
linus-karlsson,Linus Karlsson,F,VAN,,,
lawson-crouse,Lawson Crouse,F,UTA,,,
marco-kasper,Marco Kasper,F,DET,,,
yegor-sharangovich,Yegor Sharangovich,F,CGY,,,
mike-matheson,Mike Matheson,D,MTL,,,
ryan-poehling,Ryan Poehling,F,ANA,,,
jaccob-slavin,Jaccob Slavin,D,CAR,,,
jason-zucker,Jason Zucker,F,BUF,,,
drew-doughty,Drew Doughty,D,L.A,,,
oliver-bjorkstrand,Oliver Bjorkstrand,F,NYR,,,
janis-moser,Janis Moser,D,T.B,,,
bobby-brink,Bobby Brink,F,MIN,,,
esa-lindell,Esa Lindell,D,DAL,,,
zayne-parekh,Zayne Parekh,D,CGY,,,
jordan-staal,Jordan Staal,F,CAR,,,
darnell-nurse,Darnell Nurse,D,S.J,,,
oliver-kapanen,Oliver Kapanen,F,MTL,,,
tony-deangelo,Tony DeAngelo,D,NYI,,,
neal-pionk,Neal Pionk,D,WPG,,,
ryan-mcdonagh,Ryan McDonagh,D,T.B,,,
emmitt-finnie,Emmitt Finnie,F,DET,,,
nicholas-robertson,Nicholas Robertson,F,PIT,,,
ilya-protas,Ilya Protas,F,WSH,,,
conor-garland,Conor Garland,F,CBJ,,,
fabian-zetterlund,Fabian Zetterlund,F,OTT,,,
ilya-mikheyev,Ilya Mikheyev,F,T.B,,,
trevor-moore,Trevor Moore,F,L.A,,,
sam-dickinson,Sam Dickinson,D,S.J,,,
cam-fowler,Cam Fowler,D,STL,,,
martin-fehervary,Martin Fehervary,D,WSH,,,
mikael-backlund,Mikael Backlund,F,CGY,,,
tom-willander,Tom Willander,D,VAN,,,
hampus-lindholm,Hampus Lindholm,D,BOS,,,
drew-helleson,Drew Helleson,D,ANA,,,
sean-walker,Sean Walker,D,CAR,,,
jake-mccabe,Jake McCabe,D,TOR,,,
mason-lohrei,Mason Lohrei,D,BOS,,,
bo-horvat,Bo Horvat,F,NYI,,,
dawson-mercer,Dawson Mercer,F,N.J,,,
brett-howden,Brett Howden,F,VGK,,,
vasily-podkolzin,Vasily Podkolzin,F,EDM,,,
gabriel-landeskog,Gabriel Landeskog,F,COL,,,
nate-danielson,Nate Danielson,F,DET,,,
cole-sillinger,Cole Sillinger,F,CBJ,,,
